,create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
759,2019-04-07 19:27:59.426,52.39,UTC-0300,,95,2019-04-07 19:25:59.999,0.8611110999999999,F/D7+hL5E5,2019-04-07 19:25:00.000,com.sec.android.app.shealth,2019-04-07 19:27:59.426,df6ce6a7-c4cd-2b4f-aaa8-64d52cd90111,3.29,230002.0
760,2019-04-07 20:44:24.446,29.28,UTC-0300,,40,2019-04-07 20:41:59.999,1.5555556000000001,F/D7+hL5E5,2019-04-07 20:41:00.000,com.sec.android.app.shealth,2019-04-07 20:44:24.446,e0ed2203-9100-9779-10f8-4129ad16beca,1.63,230002.0
761,2019-04-07 20:34:17.261,55.01,UTC-0300,,68,2019-04-07 20:34:00.000,1.5555556000000001,jQfnryI8/B,2019-04-07 20:33:00.000,com.sec.android.app.shealth,2019-04-07 20:34:17.261,fb3152c6-11ec-4e45-b0fc-b86883abff64,3.21,
762,2019-04-08 11:23:08.173,75.94,UTC-0300,,101,2019-04-08 11:23:00.000,1.6666666,jQfnryI8/B,2019-04-08 11:22:00.000,com.sec.android.app.shealth,2019-04-08 11:23:08.173,a0be1109-e6e0-46cd-8eec-b0bdc25efbb6,4.07,
763,2019-04-08 14:32:46.418,75.189995,UTC-0300,,99,2019-04-08 14:33:00.000,1.2737805,jQfnryI8/B,2019-04-08 14:32:00.000,com.sec.android.app.shealth,2019-04-08 14:33:30.147,b0ca40d0-e1c3-46f5-bb7f-9982257d5f4c,3.9899998,
764,2019-04-07 19:41:14.213,82.96001,UTC-0300,,106,2019-04-07 19:42:00.000,1.4725662,jQfnryI8/B,2019-04-07 19:41:00.000,com.sec.android.app.shealth,2019-04-07 19:43:20.175,f5004d4d-93fe-4247-af74-8f1ab7be4278,4.599999400000001,
765,2019-04-08 12:25:06.739,64.97001,UTC-0300,,83,2019-04-08 12:26:00.000,1.7335321,jQfnryI8/B,2019-04-08 12:25:00.000,com.sec.android.app.shealth,2019-04-08 12:25:56.793,aec0d6e4-db50-40af-b552-abd283b7e88e,4.0599995,
766,2019-04-07 20:15:00.192,32.48,UTC-0300,,52,2019-04-07 20:13:59.999,1.0555556000000001,F/D7+hL5E5,2019-04-07 20:13:00.000,com.sec.android.app.shealth,2019-04-07 20:15:00.192,de3d7643-5307-f55d-4e8c-8d341f455a27,2.09,230002.0
767,2019-04-08 15:33:21.684,61.98999,UTC-0300,,82,2019-04-08 15:34:00.000,1.3629514999999999,jQfnryI8/B,2019-04-08 15:33:00.000,com.sec.android.app.shealth,2019-04-08 15:35:00.370,01a60fc1-2ade-417a-afca-dd5aef0e92b1,2.4599995999999997,
768,2019-04-08 14:28:15.314,37.41,UTC-0300,,49,2019-04-08 14:29:00.000,1.3331084,jQfnryI8/B,2019-04-08 14:28:00.000,com.sec.android.app.shealth,2019-04-08 14:29:06.144,7e4bb20d-4534-4dd9-a470-5804ab28ddc4,2.0399997,
769,2019-04-08 16:15:01.156,6.62,UTC-0300,,9,2019-04-08 16:05:00.000,1.9166666,jQfnryI8/B,2019-04-08 16:04:00.000,com.sec.android.app.shealth,2019-04-08 16:15:01.156,b9f735e5-eadb-4884-925f-a3981351509d,0.3,
770,2019-04-08 12:40:47.856,9.32,UTC-0300,,13,2019-04-08 12:41:00.000,0.9439306000000001,jQfnryI8/B,2019-04-08 12:40:00.000,com.sec.android.app.shealth,2019-04-08 12:40:52.895,9ba60fa2-5112-4f41-903a-cac886655f08,0.63000005,
771,2019-04-07 21:08:41.468,52.85,UTC-0300,,79,2019-04-07 21:03:59.999,1.1388888000000001,F/D7+hL5E5,2019-04-07 21:03:00.000,com.sec.android.app.shealth,2019-04-07 21:08:41.468,f2f4da29-b298-21f7-2c25-e78d3c173a18,3.16,230002.0
